place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text,hours_ago,actual_date,année
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,9ff24e6c81d5526bb6ab7e6312bb14ba,5,,il y a un mois,,,,,0,18.0,38.0,True,,,730,2024-04-04 11:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,56caf258caa9fe134db91917402a90ef,1,Passage ce matin a 10h15 Rayon frais allee des yaourts et fromage Impossible de circuler des cartons au milieu de l allee et pas qu un seul Un vrai bazar,il y a un mois,,"Bonjour, Tout dabord, nous tenons a vous presenter nos excuses pour la gene occasionnee. La livraison des produits frais a subi un lourd retard, ce qui  malheureusement cause ce desagrement dans les differentes allees des rayons frais. Nous faisons au maximum pour eviter de perturber votre parcours dachats en magasin. Toute lequipe du magasin vous souhaite un agreable week-end. Theo, Manager PGC.",il y a un mois,,0,8.0,1.0,False,,,730,2024-04-04 11:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,f53d0cef7e2c2236cfbe3072b8a5063c,4,,il y a un mois,,,,,0,6.0,,True,,,730,2024-04-04 11:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,d9af2e54861f87334240b03ade2efd3c,5,,il y a un mois,,,,,0,29.0,,False,,,730,2024-04-04 11:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,fe85627b1af1e53a352f174e6b12f365,4,"Enfin des scanners ! Gain de temps, super. Le pbl est le melange a ces bornes avec les clients qui scannent, et immobilisent longtemps ces fameuses bornes  . Cest remets toi comme t etais",il y a un mois,,"Bonjour Mme Jacquin, Nous vous remercions davoir pris le temps de nous avoir laisse votre commentaire et vos 4 etoiles. Vos compliments nous font tres plaisir. Nous sommes ravie que le retour des scanners vous soit utile . Nous vous souhaitons une excellente journee ! A bientot Selim, Manager Frais",il y a un mois,,0,168.0,67.0,True,,,730,2024-04-04 11:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,0ee11a9564fdf0d0c8800bc30c707dbf,5,,il y a un mois,,,,,0,152.0,190.0,True,,,730,2024-04-04 11:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,a57121340b2c51cf78910af515cca54b,5,,il y a un mois,,,,,0,2.0,6.0,False,,,730,2024-04-04 11:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,8941888ebdf3c78a989470af8e044068,1,"A chaque fois que je passe a la caisse automatique de ce supermarche, jai droit a un controle soit disant aleatoire de mes achats par une hotesse. Je commence serieusement a me demander si ces controles sont vraiment aleatoire et si ce nest pas base sur le facies. En tout cas cest humiliant et cest une perte de temps a chaque fois. Je ne pense pas que jy retournerai.",il y a un mois,,"Bonjour Mr Fofana, Nous vous remercions pour votre magnifique note et votre tres gentil commentaire. Nous sommes navres que nos prestations ne vous donnent pas une entiere satisfaction Cependant, je vous confirme que les controle sont aleatoires par le biais dun algorithme. Nous vous souhaitons une bonne journee A bientot Selim, Manager FRAIS",il y a un mois,,1,4.0,,False,,,730,2024-04-04 11:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,aa9dfa9cea46a2799aff53ca68866b52,4,Petit Auchan tres pratique avec ses horaires et beaucoup de choix,il y a 2 mois,,"Bonjour M. Bernard, Nous vous remercions pour votre magnifique note et votre tres gentil commentaire. Nous sommes ravis que nos prestations vous donnent une entiere satisfaction Nos collegues vous remercient ! Nous vous souhaitons une bonne journee A bientot Selim, Manager FRAIS",il y a 2 mois,,0,112.0,19.0,True,,,1460,2024-03-05 01:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,d4aaf09195ccb0a695637614cb034896,4,Ca depend,il y a 2 mois,,"Bonjour, Nous vous remercions davoir pris le temps de nous laisser votre avis et vos 4 etoiles ! Nous sommes ravis de savoir que notre magasin ait pu vous rendre service. Toute notre equipe reste a votre entiere disposition si besoin. Nous vous souhaitons une belle journee",il y a 2 mois,,0,33.0,,False,Ca depann,,1460,2024-03-05 01:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,3c4ef52844c0d2237d48cc30822ad003,1,"2 fois que je veux passer commande sur deliveroo et 2 fois quon me la refuse alors que jai bien preciser que sil manquait un article, on pouvait me le supprimer de ma commande mais pas dannuler ma commande complete. Ayant un bebe cest complique de me deplacer. Je ne vous felicite pas et je ne reviendrai plus dans votre magasin",il y a 2 mois,,"Bonjour Mme, Nous vous remercions davoir pris le temps de nous laisser votre commentaire. Nous sommes sincerement desoles pour cette mauvaise experience. Nous comprenons tout a fait votre mecontentement. Nous ferons le necessaire aupres de nos equipes pour que ce probleme ne se reproduise pas.",il y a 2 mois,,1,3.0,,False,,,1460,2024-03-05 01:59:41.551227,2024
ChIJxaeGNnGE5kcRNtseod9PBfA,Auchan Supermarche Trappes,f25d054ea7a4ebdb79a0c333aea9c64c,5,,il y a 2 mois,,,,,0,6.0,,False,,,1460,2024-03-05 01:59:41.551227,2024
