place_id,name,main_category,rating,reviews,address,link,categories,description,Grande Categorie,latitude,longitude
ChIJEedvZvWD5kcRwJQ1cIhaOTk,Mediatheque Anatole-France,Bibliotheque,4.3,59.0,"Mediatheque Anatole-France, 1 Pl. de la Mediatheque, 78190 Trappes",https://www.google.com/maps/place/M%C3%A9diath%C3%A8que+Anatole-France/data=!4m7!3m6!1s0x47e683f5666fe711:0x39395a88703594c0!8m2!3d48.7816667!4d1.9827778!16s%2Fg%2F1tj6t44q!19sChIJEedvZvWD5kcRwJQ1cIhaOTk?authuser=0&hl=fr&rclk=1,Bibliotheque,Mediatheque Anatole-France Bibliotheque Bibliotheque,Culture,48.7816667,1.9827778
ChIJ796bm7KD5kcRSA43D3fuijM,Parc Municipal de Trappes,Parc,4.3,55.0,"Parc Municipal de Trappes, 78190 Trappes",https://www.google.com/maps/place/Parc+Municipal+de+Trappes/data=!4m7!3m6!1s0x47e683b29b9bdeef:0x338aee770f370e48!8m2!3d48.7803249!4d2.0002!16s%2Fg%2F11j2z2gf1j!19sChIJ796bm7KD5kcRSA43D3fuijM?authuser=0&hl=fr&rclk=1,Parc,Parc Municipal de Trappes Parc Parc,Sport et loisir,48.7803249,2.0002
ChIJD1gRuP2D5kcRBHGPGs0gKzo,Pharmacie Principale,Pharmacie,4.4,53.0,"Pharmacie Principale, 43 Rue Jean Jaures, 78190 Trappes",https://www.google.com/maps/place/Pharmacie+Principale/data=!4m7!3m6!1s0x47e683fdb811580f:0x3a2b20cd1a8f7104!8m2!3d48.7758121!4d2.0007865!16s%2Fg%2F1tfj2h2q!19sChIJD1gRuP2D5kcRBHGPGs0gKzo?authuser=0&hl=fr&rclk=1,Pharmacie,Pharmacie Principale Pharmacie Pharmacie,Sante,48.7758121,2.0007865
ChIJEcFQNvGD5kcRNuPM0spji8E,Pharmacie Pharmavance Trappes,Pharmacie,3.1,53.0,"Pharmacie Pharmavance Trappes, Rue Gerard Philipe, 78190 Trappes",https://www.google.com/maps/place/Pharmacie+Pharmavance+Trappes/data=!4m7!3m6!1s0x47e683f13650c111:0xc18b63cad2cce336!8m2!3d48.7769485!4d1.9877878!16s%2Fg%2F11csrny3wv!19sChIJEcFQNvGD5kcRNuPM0spji8E?authuser=0&hl=fr&rclk=1,Pharmacie,Pharmacie Pharmavance Trappes Pharmacie Pharmacie,Sante,48.7769485,1.9877878
ChIJJ9_P0PiD5kcRqvCH7p5xp-g,Le Petit Gibus,Centre de loisirs,4.5,47.0,"Le Petit Gibus, 9 Rue du Martray, 78190 Trappes",https://www.google.com/maps/place/Le+Petit+Gibus/data=!4m7!3m6!1s0x47e683f8d0cfdf27:0xe8a7719eee87f0aa!8m2!3d48.7811058!4d1.9979401!16s%2Fg%2F11cn5mr_0w!19sChIJJ9_P0PiD5kcRqvCH7p5xp-g?authuser=0&hl=fr&rclk=1,Centre de loisirs,Le Petit Gibus Centre de loisirs Centre de loisirs,Sport et loisir,48.7811058,1.9979401
ChIJd2j6tP2D5kcR5Ku7yQiC79E,Le Douze Heures Restaurant,Restaurant,4.7,45.0,"Le Douze Heures Restaurant, 38 Rue Jean Jaures, 78190 Trappes",https://www.google.com/maps/place/Le+Douze+Heures+Restaurant/data=!4m7!3m6!1s0x47e683fdb4fa6877:0xd1ef8208c9bbabe4!8m2!3d48.7758253!4d2.0000546!16s%2Fg%2F11qg2xrhs_!19sChIJd2j6tP2D5kcR5Ku7yQiC79E?authuser=0&hl=fr&rclk=1,Restaurant,Le Douze Heures Restaurant Restaurant Restaurant,Commerce et Restauration,48.7758253,2.0000546
ChIJq0HBxvGD5kcRCLXZ5htP2N8,salle Jean-Baptiste Clement,Salle de spectacles,3.8,43.0,"salle Jean-Baptiste Clement, 4 Rue des Anciens Combattants, 78190 Trappes","https://www.google.com/maps/place/salle+Jean-Baptiste+Cl%C3%A9ment/@48.7788566,1.9864722,17z/data=!3m1!4b1!4m6!3m5!1s0x47e683f1c6c141ab:0xdfd84f1be6d9b508!8m2!3d48.7788566!4d1.9864722!16s%2Fg%2F11dfjb80vv?authuser=0&hl=fr&entry=ttu",Salle de spectacles,salle Jean-Baptiste Clement Salle de spectacles Salle de spectacles,Sport et loisir,48.7788566,1.9864722
ChIJFzAe0_2D5kcRTh4Qn6vhc1g,Maison de la Justice et du Droit,Association ou organisation,3.6,36.0,"Maison de la Justice et du Droit, 3 Pl. de la Mairie, 78190 Trappes",https://www.google.com/maps/place/Maison+de+la+Justice+et+du+Droit/data=!4m7!3m6!1s0x47e683fdd31e3017:0x5873e1ab9f101e4e!8m2!3d48.776579!4d2.0004445!16s%2Fg%2F11c2l0l6l3!19sChIJFzAe0_2D5kcRTh4Qn6vhc1g?authuser=0&hl=fr&rclk=1,Association ou organisation,Maison de la Justice et du Droit Association ou organisation Association ou organisation,Aide sociale,48.776579,2.0004445
ChIJH9-fNlqB5kcRYJsOoEB2-L4,France Travail (ex Pole emploi),Agence pour l'emploi,2.4,33.0,"France Travail (ex Pole emploi), 130 Av. des Bouleaux, 78190 Trappes",https://www.google.com/maps/place/France+Travail+%28ex+P%C3%B4le+emploi%29/data=!4m7!3m6!1s0x47e6815a369fdf1f:0xbef87640a00e9b60!8m2!3d48.76945!4d2.009315!16s%2Fg%2F113jd0ffx!19sChIJH9-fNlqB5kcRYJsOoEB2-L4?authuser=0&hl=fr&rclk=1,"Agence pour l'emploi, Agence d'orientation professionnelle, Conseil, Conseiller, Centre d'emploi, Administration, Services d'information, Service d'aide a la recherche d'emploi, Centre d'information et d'orientation, Centre d'information","France Travail (ex Pole emploi) Agence pour l'emploi Agence pour l'emploi, Agence d'orientation professionnelle, Conseil, Conseiller, Centre d'emploi, Administration, Services d'information, Service d'aide a la recherche d'emploi, Centre d'information et d'orientation, Centre d'information","Services Publics, Administration",48.76945,2.009315
ChIJm_bX5IyD5kcRVaQ6CN-s2e0,Stade Youri Gagarine,Terrain de football,4.2,30.0,"Stade Youri Gagarine, Rue Pierre Courtade, 78190 Trappes","https://www.google.com/maps/place/Stade+Youri+Gagarine/@48.7755333,1.9784759,17z/data=!3m1!4b1!4m6!3m5!1s0x47e6838ce4d7f69b:0xedd9acdf083aa455!8m2!3d48.7755333!4d1.9784759!16s%2Fg%2F11cs5vxtc2?authuser=0&hl=fr&entry=ttu",Terrain de football,Stade Youri Gagarine Terrain de football Terrain de football,Sport et loisir,48.7755333,1.9784759
